date	region	store	sales_volume	arp	sales_rep	endcap	demo	demo13	demo45	natural	fitness
04/05/2010	RM	Academy	270.75	4.29	1	0	1	0	1	2	2
11/05/2010	RM	Academy	314.51	4.29	1	1	1	1	1	2	2
05/18/2010	RM	Academy	390.61	4.09	1	0	1	1	0	2	2
05/25/2010	RM	Academy	249.86	4.09	1	0	0	1	0	2	2
01/06/2010	RM	Academy	222.03	4.79	1	0	0	1	1	2	2
08/06/2010	RM	Academy	276.36	4.15	1	1	1	1	1	2	2
06/15/2010	RM	Academy	294.86	4.15	1	0	1	1	1	2	2
06/22/2010	RM	Academy	383.46	4.05	1	0	1	1	1	2	2
06/29/2010	RM	Academy	300.29	4.05	1	1	1	1	0	2	2
06/07/2010	RM	Academy	296.74	4.58	1	0	1	1	1	2	2
07/13/2010	RM	Academy	429.8	3.56	1	1	1	0	1	2	2
04/05/2010	SW	Alamo Quarry	186.95	4.39	0	1	0	1	1	1	4
11/05/2010	SW	Alamo Quarry	179.85	4.39	0	1	0	1	1	1	4
05/18/2010	SW	Alamo Quarry	133.85	3.84	0	0	0	1	0	1	4
05/25/2010	SW	Alamo Quarry	202.42	3.75	0	0	0	0	1	1	4
01/06/2010	SW	Alamo Quarry	235.23	3.68	0	0	0	0	1	1	4
08/06/2010	SW	Alamo Quarry	145.64	4.8	0	1	0	0	0	1	4
06/15/2010	SW	Alamo Quarry	179.26	4.26	0	1	0	0	0	1	4
06/22/2010	SW	Alamo Quarry	220.8	4.63	0	1	0	0	0	1	4
06/29/2010	SW	Alamo Quarry	199.02	4.63	0	0	0	0	0	1	4
06/07/2010	SW	Alamo Quarry	113.14	4.42	0	1	0	0	0	1	4
07/13/2010	SW	Alamo Quarry	158.7	4.07	0	0	0	0	0	1	4
04/05/2010	SO	Alpharetta (aka Alpharetta Harry's)	194.94	4.05	0	0	0	0	0	3	3
11/05/2010	SO	Alpharetta (aka Alpharetta Harry's)	130.6	3.64	0	0	0	0	0	3	3
05/18/2010	SO	Alpharetta (aka Alpharetta Harry's)	232.02	3.77	0	1	0	0	0	3	3
05/25/2010	SO	Alpharetta (aka Alpharetta Harry's)	212.96	3.55	0	1	0	0	0	3	3
01/06/2010	SO	Alpharetta (aka Alpharetta Harry's)	162.34	3.53	0	1	0	0	0	3	3
08/06/2010	SO	Alpharetta (aka Alpharetta Harry's)	196.19	3.86	0	1	0	0	0	3	3
06/15/2010	SO	Alpharetta (aka Alpharetta Harry's)	189.97	3.64	0	0	0	0	0	3	3
06/22/2010	SO	Alpharetta (aka Alpharetta Harry's)	218.37	3.85	0	1	0	0	0	3	3
